#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         517    -5.46491    -5.46598 0.000685055
         518    -5.46496    -5.46597 0.000683735
         519    -5.46469    -5.46597 0.000682422
         520    -5.46507    -5.46597 0.000681112
         521    -5.46513    -5.46597 0.000679806
         522    -5.46518    -5.46597 0.000678506
         523    -5.46491    -5.46596 0.000677211
         524    -5.46464    -5.46596 0.000675924
         525    -5.46469    -5.46596 0.000674641
         526    -5.46442    -5.46596 0.000673364
         527    -5.46447    -5.46595 0.000672092
         528    -5.46485    -5.46595 0.000670823
         529     -5.4649    -5.46595 0.000669558
         530    -5.46462    -5.46595 0.000668299
         531    -5.46402    -5.46594  0.00066705
         532    -5.46374    -5.46594 0.000665809
         533    -5.46379    -5.46594 0.000664572
         534    -5.46448    -5.46593 0.000663333
         535    -5.46452    -5.46593 0.000662099
         536    -5.46424    -5.46593 0.000660871
         537     -5.4646    -5.46592 0.000659645
         538    -5.46432    -5.46592 0.000658426
         539    -5.46467    -5.46592 0.000657208
         540    -5.46471    -5.46592 0.000655995
         541    -5.46441    -5.46591 0.000654788
         542    -5.46412    -5.46591 0.000653588
         543    -5.46415    -5.46591 0.000652393
         544    -5.46547    -5.46591 0.000651194
         545    -5.46452     -5.4659 0.000650004
         546    -5.46422     -5.4659 0.000648821
         547    -5.46456     -5.4659  0.00064764
         548    -5.46489     -5.4659  0.00064646
         549    -5.46458    -5.46589 0.000645287
         550    -5.46459    -5.46589 0.000644118
         551     -5.4646    -5.46589 0.000642954
         552    -5.46492    -5.46589 0.000641791
         553    -5.46557    -5.46589 0.000640631
         554    -5.46524    -5.46589 0.000639476
         555    -5.46589    -5.46589 0.000638324
         556    -5.46556    -5.46589 0.000637176
         557    -5.46555    -5.46588 0.000636032
         558     -5.4665    -5.46589 0.000634893
         559    -5.46617    -5.46589 0.000633758
         560    -5.46615    -5.46589 0.000632626
         561    -5.46548    -5.46589 0.000631499
         562     -5.4661    -5.46589 0.000630375
         563    -5.46608    -5.46589 0.000629256
         564    -5.46605    -5.46589  0.00062814
         565    -5.46602    -5.46589 0.000627028
         566    -5.46599    -5.46589 0.000625921
         567    -5.46692    -5.46589 0.000624819
         568    -5.46657    -5.46589  0.00062372
         569    -5.46685    -5.46589 0.000622627
         570    -5.46616    -5.46589 0.000621534
         571     -5.4658    -5.46589 0.000620446
         572    -5.46511    -5.46589 0.000619363
         573    -5.46507    -5.46589 0.000618283
         574     -5.4647    -5.46589  0.00061721
         575    -5.46465    -5.46589  0.00061614
         576    -5.46428    -5.46588 0.000615077
         577    -5.46456    -5.46588 0.000614015
         578    -5.46452    -5.46588 0.000612957
         579    -5.46447    -5.46588 0.000611903
         580     -5.4641    -5.46587 0.000610856
         581    -5.46437    -5.46587  0.00060981
         582    -5.46432    -5.46587 0.000608768
         583    -5.46525    -5.46587 0.000607725
         584    -5.46553    -5.46587 0.000606685
         585    -5.46548    -5.46587 0.000605648
         586    -5.46544    -5.46586 0.000604615
         587    -5.46507    -5.46586 0.000603586
         588    -5.46502    -5.46586 0.000602561
         589    -5.46433    -5.46586 0.000601544
         590    -5.46429    -5.46586  0.00060053
         591    -5.46392    -5.46585 0.000599523
         592    -5.46291    -5.46585 0.000598531
         593    -5.46319    -5.46584 0.000597538
         594    -5.46283    -5.46584 0.000596554
         595     -5.4628    -5.46583 0.000595573
         596    -5.46244    -5.46583 0.000594601
         597    -5.46241    -5.46582 0.000593633
         598     -5.4627    -5.46582 0.000592663
         599    -5.46332    -5.46581 0.000591688
         600    -5.46329    -5.46581 0.000590717
         601    -5.46391    -5.46581 0.000589743
         602    -5.46388     -5.4658 0.000588772
         603    -5.46257     -5.4658  0.00058782
